CODIGO INTERNO,DESCRIPCIÓN,CÓDIGO UNIDAD DE MEDIDA,"MONEDA (1=SOLES, 2=DOLARES, 3=EURO)",COSTO UNITARIO COMPRA (SIN IGV),VALOR VENTA UNITARIO (SIN IGV),PRECIO COMPRA UNITARIO (CON IGV),PRECIO VENTA UNITARIO (CON IGV),DESTACADO,TIPO DE AFECTACIÓN (IGV),CÓDIGO DE CATEGORÍA,DESCRIPCIÓN DE CATEGORÍA,CÓDIGO PRODUCTO SUNAT,STOCK ACTUAL DISPONIBLE
5053,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA PLASTICO ROSCA,NIU,1,,,"1,2","1,5",NO,10,-,SIN CATEGORÍA,,3
5054,FRASCO PLASTICO NATURAL 60ML CON TAPA Y TAPON B/28,NIU,1,,,"0,37","0,57",NO,10,-,SIN CATEGORÍA,,602
5055,FRASCO VIDRIO AMBAR IMPORTADO 250ML TAPA DISPENSADOR GEL,NIU,1,"2,54237","3,30508",3,"3,9",NO,10,-,SIN CATEGORÍA,,-19
5056,PASTILLERO PVC/CRISTAL N°4 80GR T/ROSCA Blanca,NIU,1,"1,48305","2,05508","1,75","2,425",NO,10,LABXXX,LABORATORIO,,5
5057,PASTILLERO PVC/CRISTAL N°3 50GR TAPA Blanca,NIU,1,"1,28813","1,77966","1,52","2,1",NO,,LABXXX,LABORATORIO,,7
5058,PASTILLERO ESPECIAL PVC CRISTAL 150GR CON T/ESP,NIU,1,"1,65254","2,28813","1,95","2,7",NO,,LABXXX,LABORATORIO,,15
5059,POTE PLASTICO PEAD BLANCO 1KG CON TAPA N°97,NIU,1,"1,8","2,25","2,124","2,655",NO,,-,SIN CATEGORÍA,,490
5060,POTE PLASTICO PEAD BLANCO 500GR CON TAPA,NIU,1,"1,56779","2,20338","1,85","2,6",NO,,-,SIN CATEGORÍA,,4
5061,POTE PLASTICO PEAD BLANCO 250GR CON TAPA Y LAINA,NIU,1,"1,35593","1,90677","1,6","2,25",NO,,-,SIN CATEGORÍA,,-31
5062,POTE PLASTICO PEAD BLANCO 500GR CON TAPA Y LAINA,NIU,1,"1,56779","2,16101","1,85","2,55",NO,,-,SIN CATEGORÍA,,-85
5063,FRASCO VIDRIO AMBAR HOMBRO CAIDO 125ML TAPA ESPRAY PISTOLA negro,NIU,1,"1,69491","2,54237",2,3,NO,,-,SIN CATEGORÍA,,-37
5064,GATILLO PULVERIZADOR 28/410,NIU,1,,,"0,536","0,8",NO,,TAPAS,TAPONES,,626
5065,PISETA 250ML,NIU,1,,,"2,5","4,5",NO,,LABXXX,LABORATORIO,,-86
5066,PISETA 500 ML,NIU,1,,,3,"5,5",NO,,LABXXX,LABORATORIO,,237
5067,PIPETAS PASTEUR ESTRILES 3ML BX200,NIU,1,,,"0,15","0,2",NO,,LABXXX,LABORATORIO,,274
5068,CRIOVIAL C/TAPA ROSCA NO ESTERIL 2ML TAPA BLANCA (BOLSA*500UND),NIU,1,"0,07627","0,21186","0,09","0,25",NO,,LABXXX,LABORATORIO,,1301
5069,PISETA 1LT,NIU,1,,,4,7,NO,,LABXXX,LABORATORIO,,118
5070,FRASCO PET TRANSPARENTE 60ML CON TAPA Y TAPON N°28,NIU,1,"0,66101","1,01694","0,78","1,2",NO,,-,SIN CATEGORÍA,,-3
5071,GOTERO PLASTICO 100ML COLOR NATURAL,NIU,1,"0,77","1,14406","0,9086","1,35",NO,,-,SIN CATEGORÍA,,200
5072,FRASCO YOGURT 1LT BLANCO CON TAPA 38MM,NIU,1,"0,8","1,10169","0,944","1,3",NO,,-,SIN CATEGORÍA,,857
5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,NIU,1,"0,75","1,01694","0,885","1,2",NO,,-,SIN CATEGORÍA,,695
5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,NIU,1,,,"0,85","1,3",NO,,-,SIN CATEGORÍA,,1643
5075,POTE PLASTICO 500GR B110MM BLANCO CON TAPA,NIU,1,"1,8","2,45762","2,124","2,9",NO,,-,SIN CATEGORÍA,,110
5076,POTE PLASTICO BLANCO 250GR CON TAPA,NIU,1,,,"0,708","1,3",NO,,-,SIN CATEGORÍA,,54
5077,GOTERO PLASTICO X 10ML NATURAL S/P B15MM C/TAPA Y TAPON,NIU,1,"0,2","0,29661","0,236","0,35",NO,,-,SIN CATEGORÍA,,-826
5078,GOTERO PLASTICO 7ML NATURAL S/P B15MM C/TAPA Y TAPON,NIU,1,"0,18","0,25423","0,2124","0,3",NO,,-,SIN CATEGORÍA,,438
5079,GOTERO PLASTICO 60ML NATURAL S/P B18MM C/TAPA Y TAPON,NIU,1,"0,5","0,67796","0,59","0,8",NO,,-,SIN CATEGORÍA,,22
5080,GOTERO PLASTICO 5ML NATURAL S/P C/TAPA,NIU,1,"0,18","0,25423","0,2124","0,3",NO,,-,SIN CATEGORÍA,,-1015
5081,GOTERO PLASTICO 15ML NATURAL S/P C/TAPA,NIU,1,"0,2","0,27118","0,236","0,32",NO,,-,SIN CATEGORÍA,,-403
5082,GOTERO PLASTICO 30ML NATURAL S/P C/TAPA,NIU,1,"0,2","0,27118","0,236","0,32",NO,,-,SIN CATEGORÍA,,-416
5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),NIU,1,,,"6,58",16,NO,,LABXXX,LABORATORIO,,63
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),NIU,1,,,"4,8",11,NO,,LABXXX,LABORATORIO,,-50
5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,NIU,1,,,"2,6","7,5",NO,,LABXXX,LABORATORIO,,20
5086,VASO PRECIPITADO DE VIDRIO FORMA ALTA 250 ML (BEAKER),NIU,1,"4,23728","6,35593",5,"7,5",NO,,LABXXX,LABORATORIO,,-1
5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),NIU,1,,,"1,9",6,NO,,LABXXX,LABORATORIO,,-20
5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),NIU,1,"2,54237","4,23728",3,5,NO,,LABXXX,LABORATORIO,,164
