FECHA,TIPO,SERIE,NÚMERO,DOC ENTIDAD TIPO,DOC ENTIDAD NÚMERO,CLIENTE,MONEDA,TIPO DE CAMBIO,UNIDAD DE MEDIDA,SKU,PRODUCTO,CANT,VALOR UNITARIO,PRECIO UNITARIO,DESCUENTO,SUBTOTAL,TIPO DE IGV,IGV,TIPO DE ISC,ISC,IMPUESTO BOLSAS,IMPORTE,ANULADO
01/04/2025,03,BQQ1,9,-,-,VARIOS,PEN,0,NIU,5016,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA ,1,"3,3898305085",4,0,"3,3898305085",10,"0,6101694915",,0,0,4,NO
01/04/2025,03,BQQ1,10,-,-,VARIOS,PEN,0,NIU,5044,FRASCO PLASTICO BLANCO 60ML CON TAPA Y TAPON N28 ,48,"0,4572740113","0,5395833333",0,"21,9491525424",10,"3,9508474576",,0,0,"25,9",NO
01/04/2025,03,BQQ1,11,-,-,VARIOS,PEN,0,NIU,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON ,100,"1,186440678","1,4",0,"118,6440677966",10,"21,3559322034",,0,0,140,NO
02/04/2025,03,BQQ1,12,-,-,VARIOS,PEN,0,NIU,5067,PIPETAS PASTEUR ESTRILES 3ML BX200 ,3,"0,6779661017","0,8",0,"2,0338983051",10,"0,3661016949",,0,0,"2,4",NO
02/04/2025,01,FQQ1,3,6,20606898348,ESNA MEDIC INVERSIONES S.A.C.,PEN,0,NIU,5064,GATILLO PULVERIZADOR 28/410 ,36,"1,6949152542",2,0,"61,0169491525",10,"10,9830508475",,0,0,72,NO
02/04/2025,01,FQQ1,4,6,20140964850,CEGNE SAN ANTONIO DE PADUA,PEN,0,NIU,5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM ,12,"2,5423728814",3,0,"30,5084745763",10,"5,4915254237",,0,0,36,NO
02/04/2025,01,FQQ1,4,6,20140964850,CEGNE SAN ANTONIO DE PADUA,PEN,0,NIU,5007,TAPA DISPENSADORA BLANCO B28MM ,12,"1,6949152542",2,0,"20,3389830508",10,"3,6610169492",,0,0,24,NO
02/04/2025,03,BQQ1,13,-,-,VARIOS,PEN,0,NIU,5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY ,10,"1,0169491525","1,2",0,"10,1694915254",10,"1,8305084746",,0,0,12,NO
05/04/2025,03,BQQ1,14,-,-,VARIOS,PEN,0,NIU,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON ,1,"2,5423728814",3,0,"2,5423728814",10,"0,4576271186",,0,0,3,NO
05/04/2025,03,BQQ1,14,-,-,VARIOS,PEN,0,NIU,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR ,2,"2,1186440678","2,5",0,"4,2372881356",10,"0,7627118644",,0,0,5,NO
09/04/2025,03,BQQ1,15,-,-,VARIOS,PEN,0,NIU,5065,PISETA 250ML ,3,"3,3898305085",4,0,"10,1694915254",10,"1,8305084746",,0,0,12,NO
09/04/2025,03,BQQ1,16,-,-,VARIOS,PEN,0,NIU,5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON ,3,"1,186440678","1,4",0,"3,5593220339",10,"0,6406779661",,0,0,"4,2",NO
